英単語,和訳,,,,文法,,,,
potential,潜在的な，起こり得る,A,16,1,adj,latent,,,
primary,主要な；第1位の,A,16,2,adj,major,,,
content,含有量，容量；中身,A,16,3,noun,proportion,,,
satisfy,（必要，条件）を満たす,A,16,4,verb,meet,,,
race,人種；民族,A,16,5,noun,people(s),,,
religion,信仰，宗教,A,16,6,noun,faith,,,
negative,否定的な；消極的な,A,16,7,adj,rejecting,,,
traditional,伝統的な；従来の,A,16,8,adj,conventional,,,
pollution,汚染；公害,A,16,9,noun,contsmination,,,
democratic,民主主義の,A,16,10,noun,self-governing,,,
predominate,（力・数・影響力で）優位を占める,A,16,11,verb,prevail,,,
advance,前進する；前払いする,A,16,12,verb,move,,,
evidence,証拠；根拠,A,17,1,noun,proof,,,
prove,証明する；判明する,A,17,2,verb,demonstrate,,,
consist,～から成り立つ；～に本質がある,A,17,3,verb,comprise,,,
read-made,既製の,A,17,4,adj,read to war,,,
manufacture,製造する，生産する,A,17,5,verb,produce,,,
catch,見つける，目撃する；間に合う,A,17,6,verb,discover,,,
creativity,創造性,A,17,7,noun,originality,,,
construction,建設，建築；構造,A,17,8,noun,building,,,
brief,簡潔な；短い,A,17,9,adj,short,,,
experiment,実験,A,17,10,noun,test,,,
ironically,皮肉を込めて,A,17,11,adv,sarcastically,,,
attract,引き付ける,A,17,12,verb,capture,,,
enemy,敵，かたき，敵対者,A,18,1,noun,foe,natural enemy,,
differ,異なる，意見が合わない,A,18,2,verb,vary,Our views differ greatly in important ways.,,
ultimately,最終的には，結局；根本的には,A,18,3,adv,finally,lead a business ultimately to success,,
visible,見える,A,18,4,adj,perceptible,visible to the naked eye,,
exceed,上回る，しのぐ,A,18,5,verb,surpass,exceed one's expectations,,
plastic,プラスチック,A,18,6,noun,vinyl,a plastic bag,,
desire,強い願望，欲望；要望,A,18,7,noun,wish,satisfy a desire,,
recruitment,新入社員募集；新兵募集,A,18,8,noun,enlisting,the recruitment of a new employee,,
retirement,退職，引退,A,18,9,noun,resignation,a retirement allowance,,
lifetime,一生，生涯,A,18,10,noun,lifespan,the chance of a lifetime,,
lifetime,一生の，終身の,A,18,10,adj,lifespan,,,
invention,発明，考案；発明品,A,18,11,noun,innovation,take out a patent for invention,,
editor,編集者，校訂者,A,18,12,noun,compiler,an editor in chief,,
acceptance,支持，容認；受け入れ,A,19,1,noun,support,gain widesoread acceptance,,
punish,罰する；刑をもって処する,A,19,2,verb,penalize,ounish those convicted by a fine,,
control,制御する，操作する，支配する,A,19,3,verb,operate,This knob controls the volume.,,
emotion,感情，情緒；感動,A,19,4,noun,feeling,how to express honest emotion on stage,,
average,平均的な；平均の,A,19,5,adj,mean,the average score in the class,,
assumed,仮定した；見せかけの,A,19,6,adj,presumed,assumed innocence,,
duty,義務；職務,A,19,7,noun,obligation,the notions of right and duty,,
practise,練習する；実績する,A,19,8,verb,work out,practise the piano,,
progressive,進歩的な；斬新的な,A,19,9,adj,liberal,the progressive wing of the Labour Party,,
independence,独立；自活,A,19,10,noun,self-goverment,gain independence from Britain,,
factor,要因,A,19,11,noun,cause,factors contributing to global warming,,
atmosphere,大気，雰囲気,A,19,12,noun,air,the ozone layer in the atmosphere,,
sufficiently,十分に,A,20,1,adv,enough,,,
tiny,小さい,A,20,2,adj,diminutive,,,
consider,よく考える,A,20,3,verb,think,,,
beyond,～を超えて；～以外に,A,20,4,prep,over,,,
manmade,人工の,A,20,5,adj,synthetic,,,
survival,生き延びること,A,20,6,noun,endurance,,,
motivation,モチベーション,A,20,7,noun,motive,,,
profit,利益,A,20,8,noun,gain,,,
ancestor,祖先，先祖,A,20,9,noun,predecerssor,,,
settlement,入植，定住；植民地,A,20,10,noun,immigration,,,
characteristic,特徴，特質,A,20,11,noun,feature,,,
permanent,永続的な,A,20,12,noun,lasting,,,
shallow,浅い,A,21,1,adj,shoal,,,
hang,吊るす,A,21,2,verb,suspend,,,
branch,枝；支流,A,21,3,noun,bough,,,
autumn,秋,A,21,4,noun,fall,,,
recover,回復する,A,21,5,verb,recuperate,,,
courage,勇気,A,21,6,noun,bravery,,,
insurance,保険,A,21,7,noun,hedge,,,
escape,逃れる,A,21,8,verb,flee,,,
permit,許可する,A,21,9,verb,allow,,,
fear,恐怖,A,21,10,noun,dread,,,
origin,起源，由来，素性,A,21,11,noun,source,,,
record,記録,A,21,12,noun,document,,,
memorise,暗記する,A,22,1,verb,"learn ~ by
heart",,,
amateur,素人の,A,22,2,adj,non-professional,,,
maintenance,維持；メンテナンス,A,22,3,noun,upkeep,,,
huge,巨大な；大量の,A,22,4,adj,immense,,,
highland,高地,A,22,5,noun,upland,,,
overpopulation,人口過剰,A,22,6,noun,"surplus
population",,,
border,境界（線）,A,22,7,noun,boundary,,,
scenario,筋書；脚本,A,22,8,noun,synopsis,,,
destruction,破壊；撲滅,A,22,9,noun,demolition,,,
core,中心部；核,A,22,10,noun,centre,,,
pronounce,発音する；公表する,A,22,11,verb,articulate,,,
double,2倍にする,A,22,12,verb,duplicate,,,
per,～につき,A,23,1,perp,a,,,
preventive,予防の，防止する；防げる,A,23,2,adj,preventative,,,
standard,基準，標準；正直，誠実,A,23,3,noun,norm,,,
correlation,相互関係,A,23,4,noun,mutuality,,,
interest,利息；興味,A,23,5,noun,finance,,,
blind,盲目の,A,23,6,adj,sightless,,,
debt,借金,A,23,7,noun,borrowing,,,
foundation,財団,A,23,8,noun,base,,,
draw,描く；線を引く,A,23,9,verb,sketch,,,
sliding,事情に応じて変わる，スライドする,A,23,10,adj,adjustable,,,
extent,程度，範囲,A,23,11,noun,degree,,,
tuition,教授；授業料,A,23,12,noun,school fee,,,
delight,大喜び，楽しみ,A,24,1,noun,pleasure,be speechless with delight,,
alter,変える；変わる,A,24,2,verb,change,after one's diet for one's health,,
partly,部分的に,A,24,3,adv,partially,partly right but mostly wrong,,
undoubtly,疑いなく,A,24,4,adv,no doubt,undoubtly guilty,,
advantage,利点，メリット,A,24,5,noun,benefit,the advantage of good education,,
significance,重要性；意義,A,24,6,noun,importance,historical significance of the Industrial Revolution,,
industrialisation,工業化，産業化,A,24,7,noun,"having
industries",rapid industrialisation and urbanisation,,
prevention,防止；予防,A,24,8,noun,deterrence,the prevention of cruely to animals,,
precondition,前提条件,A,24,9,noun,prerequisite,require as a precondition,,
compare,比較する；たとえる,A,24,10,verb,contrast,compare between the advantages and disadvantages,,
chief,最高位の；主要な,A,24,11,adj,principal,Chief Executive Officer,,
urban,都会の,A,24,12,adj,city,a larger urban population,,
coal,石炭,A,25,1,noun,anthracite,a coal mine,炭鉱,
ingredient,材料；構成要素,A,25,2,noun,constituent,mix the ingredients for a pancake,パンケーキの材料を混ぜる,
burst,爆発，破裂,A,25,3,noun,explosion,a burst in population of China,中国の人口爆発,
rural,田舎の,A,25,4,adj,country,a quiet rural life,静かな田舎の生活,
class,階級；水準,A,25,5,noun,rank,a class discrimination,階級差別,
medical,医学の，医術の,A,25,6,adj,,medical staff in the hospital,その病院の医療スタッフ,
last,もつ，続く,A,25,7,verb,continue,This battery lasts a long time.,この電池は長持ちする。,
introduce,導入する；紹介する,A,25,8,verb,bring in,introduce a new system,新しい制度を導入する,
device,装置；工夫,A,25,9,noun,mechanism,a built-in safety device,内臓安全装置,
astonishing,驚くほどの，目覚ましい,A,25,10,adj,surprising,an astonishing numbr o f books in the national library,国立図書館の驚くべき数の本,
wheel,輪；車輪,A,25,11,noun,disc,a four-wheel drive car,四輪駆動車,
aid,援助，救援,A,25,12,noun,assistance,financial aid for international students,留学生への経済的援助,
recreational,娯楽の,A,26,1,adj,relaxative,recreational activities during the vacation,,
budget,予算,A,26,2,noun,financial plan,cut the annual budget,,
luxury,ぜいたく,A,26,3,noun,profusion,the luxuries of the rich,,
income,収入,A,26,4,noun,earnings,a gap between income and expenses,,
imply,暗示する，ほのめかす,A,26,5,verb,implicate,His silence implied agreement.,,
inequality,不平等,A,26,6,noun,imbalance,the inequality between the rich and the poor,,
selective,選択的な；選択能力のある,A,26,7,adj,elective,a new type created through slective breeding,,
greet,迎え入れる；挨拶する,A,26,8,verb,welcome,greet the prize winner with applause,,
praise,称賛する,A,26,9,verb,admire,praise an achievement,,
breath,息，呼吸,A,26,10,noun,breathing,breath alcohol test,,
system,制度，体制,A,26,11,noun,establishment,a social security system,,
physician,医者，内科医,A,26,12,noun,doctor,consult a physician,,
treatment,取り扱い；治療,A,27,1,noun,handling,equal treatment for men and women,,
accidental,不慮の，偶然の,A,27,2,adj,incidental,an accidental death,,
pill,錠剤,A,27,3,noun,tablet,a sleeping pill,,
poet,詩人,A,27,4,noun,writer of verse,quote a poet,,
existence,存在,A,27,5,noun,being,believe in the existence after death,,
distant,遠い；離れた,A,27,6,adj,remote,distant future,,
volcano,火山,A,27,7,noun,,eruption of a volcano,,
court,裁判所,A,27,8,noun,judicatory,the Supreme Court,,
latter,後の,A,27,9,adj,posterior,latter half of the century,,
desert,砂漠；不毛の土地,A,27,10,noun,sands,turn to desert,,
partronage,後援,A,27,11,noun,sponsorship,under the patronage of,,
nuclear,原子力の,A,27,12,adj,atomic,nuclear weapons,,
resident,移住者，在住者,A,28,1,noun,inhabitant,,,
concentration,集中,A,28,2,noun,convergence,,,
volatile,発揮性の,A,28,3,adj,explosive,,,
territory,領土，領域,A,28,4,noun,realm,,,
uncomfortable,心地よくない；気詰まりな,A,28,5,adj,unpleasant,,,
thermometer,温度計，寒温計,A,28,6,noun,"heat
indicator",,,
interior,内部の,A,28,7,adj,internal,,,
bounce,跳ね返す；跳ね返る,A,28,8,verb,rebound,,,
